ESTIMATE NO,VEHICLE,AMOUNT,ESTIMATES,DATE,PRO
4,"GJ06GA-1591, GJ06G-2032,6481,6554",35085,,44688,633
7,"GJ06GA-0099,0148, GJ06G-1724,6451,6459,6770",47965,,44979,633
8,"GJ06GA-0313, GJ06G-6555,6445,6452",49120,,44979,
9,"GJ06G-1591,2032,6451",46430,,45078,536
11,"GJ06GA-2982,3008,2807, GJ06G-6541,6770",45460,,45175,817
14,"GJ06GA-2749, 3008,3021,6769, GJ06G-6485,6459,6554",40620,,45339,878
15,"GJ06G-6460,1591,2031, GJ06GA-2898,3471",49980,,45357,878
18,"GJ06GA-0167,2536,2577,2974,0226",49990,,45369,766
19,"GJ06G-2032,6497",40260,,45387,
20,"GJ06GA-2852,2974,2539,2577",44180,,45387,
23,"GJ06G-1591, GJ06GA-0371",46270,,45404,575
25,"GJ06GA-0371,2933,2807, GJ06G-6554,6445",36970,,45415,
27,"GJ06GA-0167,2609,2749,2518,1591",31740,,45447,
29,GJ06GA-0371,49030,,45453,918
30,"GJ06GA-2852, GJ06G-6451",48750,,45453,817
32,"GJ06G-1591,6451,6801",49455,,45484,967
33,"GJ06G-2032,6555",49720,,45484,918
34,"GJ06G-2032,GJ06GA-3248,2581",42850,,45484,
35,"GJ06GA-2898,2749, GJ06G-6416",49510,,45484,1028
36,"GJ06GA-0167, 0371",46830,,45484,967
37,"GJ06GA-2783, GJ06G-6719,6451,6445",49440,,45484,1028
38,GJ06G-2032,47450,,45512,1280
39,"GJ06G-2030,6690,6431, GJ06GA-3248",42235,,45512,1280
40,"GJ06GA-2974, GJ06G-6451,6497",41760,,45525,575
41,"GJ06GA-0376, GJ06G-6618,6621",39650,,45525,
42,"GJ06G-6766, 6408, 2032",45715,,45539,
43,"GJ06GA-0313, GJ06G-6621,6448",47930,,45539,1081
44,"GJ06G-1724,6770",49748,,45539,
45,"GJ06G-6772,6416,6414, GJ06GA-3801",44250,,45539,918
46,"GJ06G-2030, 6550, 6421",42880,,45539,1028
47,"GJ06G-1724,6527,6771",49900,,45539,1081
48,"GJ06G-6767, GJ06G-6555, GJ06GA-2933, GJ06G-6463, GJ06G-6554",46860,"1136, 1159, 1153, 1155, 1151",18-09-2024,
49,"GJ06G, GJ06GA-2609",49000,"1152, 1154",18-09-2024,
50,"GJ06G-6497, GJ06G-6626, GJ06G-6463, GJ06G-2030",44880,"1139, 1146, 1147, 1148",18-09-2024,
51,"GJ06G-6525, GJ06G-6450, GJ06G-2122",45290,"1164, 1165, 1182",15-10-2024,
52,GJ06G-2032,48350,1162,15-10-2024,
53,"GJ06G-6451, GJ06G-6452, GJ06G-6463, GJ06G-6525",43440,"1168, 1186, 1188, 1201",14-11-2024,
54,"GJ06G-6433, GJ06G-6554, GJ06GA-6445, GJ06G-6497",45120,"1190, 1193, 1196, 1200",14-11-2024,
55,"GJ06G-6448, GJ06G-6452, GJ06GA-2852",46040,"1202, 1211, 1212",14-11-2024,
56,"GJ06G-6481, GJ06G-6459, GJ06G-6451",49570,"1218, 1219, 1220",14-11-2024,
57,"GJ06GA-3008, GJ06G-6485",47510,"1205, 1221",14-11-2024,
58,"GJ06G-1591, GJ06G-1723",40240,"1208, 1191",14-11-2024,
59,"GJ06G-1723, GJ06GA-3657",46780,1213,14-11-2024,
60,"GJ06GA-3008, GJ06GA-3064, GJ06GA-3248, GJ06GA-3400",41290,"1236, 1258, 1243, 1242",12-12-2024,
61,GJ06G-2031,33000,1268,12-12-2024,
62,"GJ06GA-2974, GJ06GA-3212, GJ06GA-3717, GJ06GA-3671",42610,"1273, 1280, 1282, 1245",27-01-2025,
63,"GJ06GA-3234, GJ06G-6677, GJ06G-6526, GJ06G-6529",39440,"1293, 1295, 1260, 1266",27-01-2025,
64,Various Vehicles,48900,1299,21-03-2025,
65,"Various Vehicles, GJ06GA-3234",49970,1300,21-03-2025,
66,"GJ06GA-3234, GJ06G-6768, GJ06G-6626, GJ06G-6620",48360,"1306, 1317, 1316, 1307",22-03-2025,
67,GJ06GA-0284,37100,1319,22-03-2025,
68,GJ06GA-0284,37100,1320,22-03-2025,
1,"GJ06GA-0354, GJ06G-6529, GJ06GA-2982, GJ06G-6798",48385,"003, 018, 1302, 1305",25-04-2025,
2,"GJ06G-2974, GJ06G-6461",47500,"007, 019",25-04-2025,
3,Various Vehicles,48900,020,25-04-2025,
4,Various Vehicles,42380,21,45775,
